txn_id,date,iso_date,narration,ref_no,value_date,type,category,mode,withdrawal,deposit,balance,status
TXN00011,11/04/2024,2024-04-11,UPI-MYNTRA DESIGNS-MYNTRA@ICICI-ICIC0MYNUPI-342910249529-UPI,0000342910249529,11/04/2024,DR,Shopping,UPI,391.11,,93483.42,SUCCESS
TXN00012,12/04/2024,2024-04-12,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-447055029070-UPI,0000447055029070,12/04/2024,DR,Rent,UPI,3328.73,,90154.69,SUCCESS
TXN00013,13/04/2024,2024-04-13,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-818172762479-UPI,0000818172762479,13/04/2024,DR,Shopping,UPI,1876.56,,88278.13,SUCCESS
TXN00014,14/04/2024,2024-04-14,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-371182647325-UPI,0000371182647325,14/04/2024,DR,Education,UPI,2253.76,,86024.37,SUCCESS
TXN00015,15/04/2024,2024-04-15,UPI-RELIANCE JIO-JIO.BILLPAY@HDFCBANK-HDFC0JIOUPI-342072931479-UPI,0000342072931479,15/04/2024,DR,Utility,UPI,72.73,,85951.64,SUCCESS
TXN00016,16/04/2024,2024-04-16,UPI-IRCTC UPI-IRCTC@SBI-SBIN0IRCTC1-787851215839-UPI,0000787851215839,16/04/2024,CR,Travel,UPI,,2648.53,88600.17,SUCCESS
TXN00017,17/04/2024,2024-04-17,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-521179644432-UPI,0000521179644432,17/04/2024,DR,Rent,UPI,249.98,,88350.19,SUCCESS
TXN00018,18/04/2024,2024-04-18,UPI-AMAZON PAY INDIA-AMAZONPAY@APL-AXIS0000002-893195777447-UPI,0000893195777447,18/04/2024,CR,Shopping,UPI,,3314.43,91664.62,SUCCESS
TXN00019,19/04/2024,2024-04-19,UPI-INDIGO AIRLINES-INDIGOAIR@HDFC-HDFC0INDIGO-942959595464-UPI,0000942959595464,19/04/2024,DR,Travel,UPI,167.95,,91496.67,SUCCESS
TXN00020,20/04/2024,2024-04-20,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-894370590668-UPI,0000894370590668,20/04/2024,DR,Education,UPI,265.28,,91231.39,SUCCESS
TXN00021,21/04/2024,2024-04-21,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-790933616150-UPI,0000790933616150,21/04/2024,CR,Utility,UPI,,3144.44,94375.83,SUCCESS
TXN00022,22/04/2024,2024-04-22,UPI-PRIYA SHARMA-PRIYASHARMA92@OKICICI-ICIC0000123-268358041225-UPI,0000268358041225,22/04/2024,CR,Transfer,UPI,,3328.4,97704.23,SUCCESS
TXN00023,23/04/2024,2024-04-23,UPI-ROHAN MEHTA-ROHANM7@OKAXIS-UTIB0000456-757132452561-UPI,0000757132452561,23/04/2024,DR,Transfer,UPI,1588.94,,96115.29,SUCCESS
TXN00024,24/04/2024,2024-04-24,UPI-BIG BAZAAR RETAIL-BIGBAZAAR.MH01@HDFCBANK-HDFC0BBUPI1-161157982007-UPI,0000161157982007,24/04/2024,CR,Shopping,UPI,,5692.31,101807.6,SUCCESS
TXN00025,25/04/2024,2024-04-25,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-903526763113-UPI,0000903526763113,25/04/2024,CR,Shopping,UPI,,5872.31,107679.91,SUCCESS
TXN00026,26/04/2024,2024-04-26,UPI-RELIANCE JIO-JIO.BILLPAY@HDFCBANK-HDFC0JIOUPI-944101545574-UPI,0000944101545574,26/04/2024,DR,Utility,UPI,2149.41,,105530.5,SUCCESS
TXN00027,27/04/2024,2024-04-27,UPI-BHARAT PETROLEUM-BPCLPETRO.98765@YBL-YESB0BPCLUP-566461768998-UPI,0000566461768998,27/04/2024,CR,Fuel,UPI,,4580.54,110111.04,SUCCESS
TXN00028,28/04/2024,2024-04-28,UPI-PETROL PUMP HP-HPCL.PETROL@AXIS-UTIB0HPCUPI-322006291036-UPI,0000322006291036,28/04/2024,DR,Fuel,UPI,2449.63,,107661.41,SUCCESS
TXN00029,29/04/2024,2024-04-29,UPI-OLA CABS INDIA-OLACABS@HDFCBANK-HDFC0OLAUPI-670799496139-UPI,0000670799496139,29/04/2024,DR,Travel,UPI,135.61,,107525.8,SUCCESS
TXN00030,30/04/2024,2024-04-30,UPI-DMART AVENUE SUPERMA-DMARTAVENUESUPERMART@HDFCBANK-HDFC0MERUPI-343045499634-UPI,0000343045499634,30/04/2024,DR,Grocery,UPI,326.62,,107199.18,SUCCESS
TXN00031,01/05/2024,2024-05-01,UPI-BHARAT PETROLEUM-BPCLPETRO.98765@YBL-YESB0BPCLUP-371052246567-UPI,0000371052246567,01/05/2024,DR,Fuel,UPI,1765.64,,105433.54,SUCCESS
TXN00032,02/05/2024,2024-05-02,NEFT-SALARY CREDIT-EMPLOYER PAYROLL-372569912085,0000372569912085,02/05/2024,CR,Salary,NEFT,,53246.92,158680.46,SUCCESS
TXN00033,03/05/2024,2024-05-03,UPI-MEDPLUS PHARMACY-MEDPLUS@ICICI-ICIC0MEDPLS-585655080082-UPI,0000585655080082,03/05/2024,DR,Health,UPI,336.51,,158343.95,SUCCESS
TXN00034,04/05/2024,2024-05-04,UPI-BIG BAZAAR RETAIL-BIGBAZAAR.MH01@HDFCBANK-HDFC0BBUPI1-202946055043-UPI,0000202946055043,04/05/2024,DR,Rent,UPI,18776.0,,139567.95,SUCCESS
TXN00035,05/05/2024,2024-05-05,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-547390899554-UPI,0000547390899554,05/05/2024,DR,Shopping,UPI,436.39,,139131.56,SUCCESS
TXN00036,06/05/2024,2024-05-06,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-101627677155-UPI,0000101627677155,06/05/2024,DR,Rent,UPI,1865.03,,137266.53,SUCCESS
TXN00037,07/05/2024,2024-05-07,UPI-MYNTRA DESIGNS-MYNTRA@ICICI-ICIC0MYNUPI-713249868174-UPI,0000713249868174,07/05/2024,CR,Shopping,UPI,,1097.82,138364.35,SUCCESS
TXN00038,08/05/2024,2024-05-08,UPI-ZOMATO LTD-ZOMATO-ONLINE@YBL-YESB0ZOMUPI-337497551698-UPI,0000337497551698,08/05/2024,DR,Food,UPI,284.83,,138079.52,SUCCESS
TXN00039,09/05/2024,2024-05-09,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-740165486786-UPI,0000740165486786,09/05/2024,DR,Shopping,UPI,430.78,,137648.74,SUCCESS
TXN00040,10/05/2024,2024-05-10,UPI-SWIGGY INDIA-SWIGGYSTORES@ICICI-ICIC0DC0099-305519951312-UPI,0000305519951312,10/05/2024,DR,Food,UPI,347.35,,137301.39,SUCCESS
TXN00041,11/05/2024,2024-05-11,UPI-LIC PREMIUM-LICPREMIUM@SBI-SBIN0LICUPI-373029676920-UPI,0000373029676920,11/05/2024,DR,Insurance,UPI,1757.67,,135543.72,SUCCESS
TXN00042,12/05/2024,2024-05-12,UPI-BHARAT PETROLEUM-BPCLPETRO.98765@YBL-YESB0BPCLUP-387482374357-UPI,0000387482374357,12/05/2024,CR,Fuel,UPI,,2022.27,137565.99,SUCCESS
TXN00043,13/05/2024,2024-05-13,UPI-RELIANCE JIO-JIO.BILLPAY@HDFCBANK-HDFC0JIOUPI-534932502545-UPI,0000534932502545,13/05/2024,CR,Utility,UPI,,1939.98,139505.97,SUCCESS
TXN00044,14/05/2024,2024-05-14,UPI-OLA CABS INDIA-OLACABS@HDFCBANK-HDFC0OLAUPI-108901504899-UPI,0000108901504899,14/05/2024,DR,Travel,UPI,294.61,,139211.36,SUCCESS
TXN00045,15/05/2024,2024-05-15,UPI-RELIANCE JIO-JIO.BILLPAY@HDFCBANK-HDFC0JIOUPI-389935567052-UPI,0000389935567052,15/05/2024,CR,Utility,UPI,,5309.01,144520.37,SUCCESS
TXN00046,16/05/2024,2024-05-16,UPI-PRIYA SHARMA-PRIYASHARMA92@OKICICI-ICIC0000123-370064409283-UPI,0000370064409283,16/05/2024,DR,Transfer,UPI,2129.65,,142390.72,SUCCESS
TXN00047,17/05/2024,2024-05-17,UPI-INDIGO AIRLINES-INDIGOAIR@HDFC-HDFC0INDIGO-989003396697-UPI,0000989003396697,17/05/2024,DR,Travel,UPI,343.9,,142046.82,SUCCESS
TXN00048,18/05/2024,2024-05-18,UPI-AMAZON PAY INDIA-AMAZONPAY@APL-AXIS0000002-388339584783-UPI,0000388339584783,18/05/2024,CR,Shopping,UPI,,4506.02,146552.84,SUCCESS
TXN00049,19/05/2024,2024-05-19,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-397020387114-UPI,0000397020387114,19/05/2024,DR,Utility,UPI,1110.79,,145442.05,SUCCESS
TXN00050,20/05/2024,2024-05-20,UPI-NETFLIX ENTERTAIN-NETFLIX.IND@ICICI-ICIC0NFLX01-639041627377-UPI,0000639041627377,20/05/2024,CR,Entertainment,UPI,,5107.4,150549.45,SUCCESS
TXN00051,21/05/2024,2024-05-21,UPI-SNEHA KULKARNI-SNEHAK2000@OKSBI-SBIN0007788-796181120841-UPI,0000796181120841,21/05/2024,CR,Transfer,UPI,,455.7,151005.15,SUCCESS
TXN00052,22/05/2024,2024-05-22,UPI-RELIANCE JIO-JIO.BILLPAY@HDFCBANK-HDFC0JIOUPI-947541171734-UPI,0000947541171734,22/05/2024,CR,Utility,UPI,,1719.34,152724.49,SUCCESS
TXN00053,23/05/2024,2024-05-23,UPI-MEDPLUS PHARMACY-MEDPLUS@ICICI-ICIC0MEDPLS-588514866975-UPI,0000588514866975,23/05/2024,CR,Health,UPI,,3453.26,156177.75,SUCCESS
TXN00054,24/05/2024,2024-05-24,UPI-PETROL PUMP HP-HPCL.PETROL@AXIS-UTIB0HPCUPI-182084873288-UPI,0000182084873288,24/05/2024,CR,Fuel,UPI,,3364.42,159542.17,SUCCESS
TXN00055,25/05/2024,2024-05-25,UPI-LIC PREMIUM-LICPREMIUM@SBI-SBIN0LICUPI-507311484139-UPI,0000507311484139,25/05/2024,DR,Insurance,UPI,625.49,,158916.68,SUCCESS
TXN00056,26/05/2024,2024-05-26,UPI-PRIYA SHARMA-PRIYASHARMA92@OKICICI-ICIC0000123-146646362417-UPI,0000146646362417,26/05/2024,DR,Transfer,UPI,808.38,,158108.3,SUCCESS
TXN00057,27/05/2024,2024-05-27,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-782787430916-UPI,0000782787430916,27/05/2024,DR,Education,UPI,467.04,,157641.26,SUCCESS
TXN00058,28/05/2024,2024-05-28,UPI-DMART AVENUE SUPERMA-DMARTAVENUESUPERMART@HDFCBANK-HDFC0MERUPI-554757219856-UPI,0000554757219856,28/05/2024,DR,Grocery,UPI,2847.16,,154794.1,SUCCESS
TXN00059,29/05/2024,2024-05-29,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-837884981282-UPI,0000837884981282,29/05/2024,CR,Education,UPI,,1747.47,156541.57,SUCCESS
TXN00060,30/05/2024,2024-05-30,UPI-AMAZON PAY INDIA-AMAZONPAY@APL-AXIS0000002-872180893759-UPI,0000872180893759,30/05/2024,DR,Shopping,UPI,48.2,,156493.37,SUCCESS
TXN00061,31/05/2024,2024-05-31,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-484229076692-UPI,0000484229076692,31/05/2024,CR,Utility,UPI,,5253.67,161747.04,SUCCESS
TXN00062,01/06/2024,2024-06-01,UPI-BHARAT PETROLEUM-BPCLPETRO.98765@YBL-YESB0BPCLUP-735223535913-UPI,0000735223535913,01/06/2024,DR,Fuel,UPI,363.13,,161383.91,SUCCESS
TXN00063,02/06/2024,2024-06-02,NEFT-SALARY CREDIT-EMPLOYER PAYROLL-574010721878,0000574010721878,02/06/2024,CR,Salary,NEFT,,48419.84,209803.75,SUCCESS
TXN00064,03/06/2024,2024-06-03,UPI-ROHAN MEHTA-ROHANM7@OKAXIS-UTIB0000456-784317998415-UPI,0000784317998415,03/06/2024,CR,Transfer,UPI,,922.83,210726.58,SUCCESS
TXN00065,04/06/2024,2024-06-04,UPI-MYNTRA DESIGNS-MYNTRA@ICICI-ICIC0MYNUPI-430283186227-UPI,0000430283186227,04/06/2024,DR,Rent,UPI,16361.0,,194365.58,SUCCESS
TXN00066,05/06/2024,2024-06-05,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-458236319765-UPI,0000458236319765,05/06/2024,CR,Rent,UPI,,3415.59,197781.17,SUCCESS
TXN00067,06/06/2024,2024-06-06,UPI-MYNTRA DESIGNS-MYNTRA@ICICI-ICIC0MYNUPI-560385447606-UPI,0000560385447606,06/06/2024,CR,Shopping,UPI,,4128.44,201909.61,SUCCESS
TXN00068,07/06/2024,2024-06-07,UPI-BOOK MY SHOW-BOOKMYSHOW@YBL-YESB0BMSUP1-292856081318-UPI,0000292856081318,07/06/2024,DR,Entertainment,UPI,3001.18,,198908.43,SUCCESS
TXN00069,08/06/2024,2024-06-08,UPI-SNEHA KULKARNI-SNEHAK2000@OKSBI-SBIN0007788-328865551724-UPI,0000328865551724,08/06/2024,CR,Transfer,UPI,,3718.64,202627.07,SUCCESS
TXN00070,09/06/2024,2024-06-09,UPI-OLA CABS INDIA-OLACABS@HDFCBANK-HDFC0OLAUPI-612485158138-UPI,0000612485158138,09/06/2024,DR,Travel,UPI,130.44,,202496.63,SUCCESS
TXN00071,10/06/2024,2024-06-10,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-193024055640-UPI,0000193024055640,10/06/2024,DR,Utility,UPI,327.48,,202169.15,SUCCESS
TXN00072,11/06/2024,2024-06-11,UPI-BIG BAZAAR RETAIL-BIGBAZAAR.MH01@HDFCBANK-HDFC0BBUPI1-442192051776-UPI,0000442192051776,11/06/2024,CR,Shopping,UPI,,1054.65,203223.8,SUCCESS
TXN00073,12/06/2024,2024-06-12,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-366486458768-UPI,0000366486458768,12/06/2024,DR,Shopping,UPI,391.19,,202832.61,SUCCESS
TXN00074,13/06/2024,2024-06-13,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-867589450881-UPI,0000867589450881,13/06/2024,DR,Rent,UPI,144.67,,202687.94,SUCCESS
TXN00075,14/06/2024,2024-06-14,UPI-ANAND KUMAR GUPTA-GUPTAANAND@OKHDFCBANK-HDFC0000102-928467665569-UPI,0000928467665569,14/06/2024,CR,Transfer,UPI,,4714.84,207402.78,SUCCESS
TXN00076,15/06/2024,2024-06-15,UPI-PETROL PUMP HP-HPCL.PETROL@AXIS-UTIB0HPCUPI-294213443847-UPI,0000294213443847,15/06/2024,DR,Fuel,UPI,53.6,,207349.18,SUCCESS
TXN00077,16/06/2024,2024-06-16,UPI-OLA CABS INDIA-OLACABS@HDFCBANK-HDFC0OLAUPI-247989376703-UPI,0000247989376703,16/06/2024,CR,Travel,UPI,,5929.78,213278.96,SUCCESS
TXN00078,17/06/2024,2024-06-17,UPI-ANAND KUMAR GUPTA-GUPTAANAND@OKHDFCBANK-HDFC0000102-450449799205-UPI,0000450449799205,17/06/2024,CR,Transfer,UPI,,3753.38,217032.34,SUCCESS
TXN00079,18/06/2024,2024-06-18,UPI-MEDPLUS PHARMACY-MEDPLUS@ICICI-ICIC0MEDPLS-570319440963-UPI,0000570319440963,18/06/2024,DR,Health,UPI,3084.48,,213947.86,SUCCESS
TXN00080,19/06/2024,2024-06-19,UPI-BIG BAZAAR RETAIL-BIGBAZAAR.MH01@HDFCBANK-HDFC0BBUPI1-925746940063-UPI,0000925746940063,19/06/2024,CR,Shopping,UPI,,1808.41,215756.27,SUCCESS
TXN00081,20/06/2024,2024-06-20,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-674570738361-UPI,0000674570738361,20/06/2024,DR,Shopping,UPI,732.45,,215023.82,SUCCESS
TXN00082,21/06/2024,2024-06-21,UPI-ROHAN MEHTA-ROHANM7@OKAXIS-UTIB0000456-397359885684-UPI,0000397359885684,21/06/2024,DR,Transfer,UPI,283.87,,214739.95,SUCCESS
TXN00083,22/06/2024,2024-06-22,UPI-RELIANCE JIO-JIO.BILLPAY@HDFCBANK-HDFC0JIOUPI-861854335443-UPI,0000861854335443,22/06/2024,CR,Utility,UPI,,572.53,215312.48,SUCCESS
TXN00084,23/06/2024,2024-06-23,UPI-MEDPLUS PHARMACY-MEDPLUS@ICICI-ICIC0MEDPLS-462527878842-UPI,0000462527878842,23/06/2024,DR,Health,UPI,2998.67,,212313.81,SUCCESS
TXN00085,24/06/2024,2024-06-24,UPI-LIC PREMIUM-LICPREMIUM@SBI-SBIN0LICUPI-949994808961-UPI,0000949994808961,24/06/2024,CR,Insurance,UPI,,313.29,212627.1,SUCCESS
TXN00086,25/06/2024,2024-06-25,UPI-LIC PREMIUM-LICPREMIUM@SBI-SBIN0LICUPI-941301014309-UPI,0000941301014309,25/06/2024,DR,Insurance,UPI,1555.28,,211071.82,SUCCESS
TXN00087,26/06/2024,2024-06-26,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-690210202253-UPI,0000690210202253,26/06/2024,CR,Education,UPI,,4839.24,215911.06,SUCCESS
TXN00088,27/06/2024,2024-06-27,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-344374238950-UPI,0000344374238950,27/06/2024,DR,Shopping,UPI,587.07,,215323.99,SUCCESS
TXN00089,28/06/2024,2024-06-28,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-845902132535-UPI,0000845902132535,28/06/2024,CR,Rent,UPI,,5074.93,220398.92,SUCCESS
TXN00090,29/06/2024,2024-06-29,UPI-BOOK MY SHOW-BOOKMYSHOW@YBL-YESB0BMSUP1-241388354666-UPI,0000241388354666,29/06/2024,DR,Entertainment,UPI,456.26,,219942.66,SUCCESS
TXN00091,30/06/2024,2024-06-30,UPI-SNEHA KULKARNI-SNEHAK2000@OKSBI-SBIN0007788-804735188129-UPI,0000804735188129,30/06/2024,DR,Transfer,UPI,650.85,,219291.81,SUCCESS
TXN00092,01/07/2024,2024-07-01,UPI-LIC PREMIUM-LICPREMIUM@SBI-SBIN0LICUPI-227429355441-UPI,0000227429355441,01/07/2024,CR,Insurance,UPI,,2897.2,222189.01,SUCCESS
TXN00093,02/07/2024,2024-07-02,NEFT-SALARY CREDIT-EMPLOYER PAYROLL-942914148319,0000942914148319,02/07/2024,CR,Salary,NEFT,,50213.37,272402.38,SUCCESS
TXN00094,03/07/2024,2024-07-03,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-768322220181-UPI,0000768322220181,03/07/2024,CR,Education,UPI,,4711.19,277113.57,SUCCESS
TXN00095,04/07/2024,2024-07-04,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-217300018982-UPI,0000217300018982,04/07/2024,DR,Rent,UPI,16773.0,,260340.57,SUCCESS
TXN00096,05/07/2024,2024-07-05,UPI-PUSHKAR DHANPAL PATL-PUSHKARPATLE441@OKSBI-UBIN0559431-845502370306-UPI,0000845502370306,05/07/2024,DR,Rent,UPI,366.06,,259974.51,SUCCESS
TXN00097,06/07/2024,2024-07-06,UPI-ANAND KUMAR GUPTA-GUPTAANAND@OKHDFCBANK-HDFC0000102-864941841452-UPI,0000864941841452,06/07/2024,DR,Transfer,UPI,351.6,,259622.91,SUCCESS
TXN00098,07/07/2024,2024-07-07,UPI-SNEHA KULKARNI-SNEHAK2000@OKSBI-SBIN0007788-685606781064-UPI,0000685606781064,07/07/2024,CR,Transfer,UPI,,599.95,260222.86,SUCCESS
TXN00099,08/07/2024,2024-07-08,UPI-DMART AVENUE SUPERMA-DMARTAVENUESUPERMART@HDFCBANK-HDFC0MERUPI-476443331852-UPI,0000476443331852,08/07/2024,CR,Grocery,UPI,,4969.52,265192.38,SUCCESS
TXN00100,09/07/2024,2024-07-09,UPI-PRIYA SHARMA-PRIYASHARMA92@OKICICI-ICIC0000123-572899688547-UPI,0000572899688547,09/07/2024,CR,Transfer,UPI,,5006.5,270198.88,SUCCESS
TXN00101,10/07/2024,2024-07-10,UPI-SNEHA KULKARNI-SNEHAK2000@OKSBI-SBIN0007788-270541592056-UPI,0000270541592056,10/07/2024,DR,Transfer,UPI,2451.37,,267747.51,SUCCESS
TXN00102,11/07/2024,2024-07-11,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-578737987515-UPI,0000578737987515,11/07/2024,DR,Education,UPI,181.48,,267566.03,SUCCESS
TXN00103,12/07/2024,2024-07-12,UPI-ANAND KUMAR GUPTA-GUPTAANAND@OKHDFCBANK-HDFC0000102-368224152205-UPI,0000368224152205,12/07/2024,DR,Transfer,UPI,316.86,,267249.17,SUCCESS
TXN00104,13/07/2024,2024-07-13,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-298964420838-UPI,0000298964420838,13/07/2024,DR,Shopping,UPI,1521.02,,265728.15,SUCCESS
TXN00105,14/07/2024,2024-07-14,UPI-AIRTEL PAYMENT-AIRTEL.BILL@AXIS-UTIB0AIRTEL-110977038883-UPI,0000110977038883,14/07/2024,CR,Utility,UPI,,696.56,266424.71,SUCCESS
TXN00106,15/07/2024,2024-07-15,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-549769295925-UPI,0000549769295925,15/07/2024,DR,Shopping,UPI,1928.28,,264496.43,SUCCESS
TXN00107,16/07/2024,2024-07-16,UPI-DMART AVENUE SUPERMA-DMARTAVENUESUPERMART@HDFCBANK-HDFC0MERUPI-969508288813-UPI,0000969508288813,16/07/2024,DR,Grocery,UPI,2575.36,,261921.07,SUCCESS
TXN00108,17/07/2024,2024-07-17,UPI-PRIYA SHARMA-PRIYASHARMA92@OKICICI-ICIC0000123-738506846386-UPI,0000738506846386,17/07/2024,DR,Transfer,UPI,1776.51,,260144.56,SUCCESS
TXN00109,18/07/2024,2024-07-18,UPI-OLA CABS INDIA-OLACABS@HDFCBANK-HDFC0OLAUPI-870310160681-UPI,0000870310160681,18/07/2024,DR,Travel,UPI,148.16,,259996.4,SUCCESS
TXN00110,19/07/2024,2024-07-19,UPI-BYJU LEARNING-BYJUS.FEE@HDFC-HDFC0BYJUPI-230204286982-UPI,0000230204286982,19/07/2024,DR,Education,UPI,388.23,,259608.17,SUCCESS
TXN00111,20/07/2024,2024-07-20,UPI-NETFLIX ENTERTAIN-NETFLIX.IND@ICICI-ICIC0NFLX01-631453260232-UPI,0000631453260232,20/07/2024,CR,Entertainment,UPI,,5864.32,265472.49,SUCCESS
TXN00112,21/07/2024,2024-07-21,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-755088327187-UPI,0000755088327187,21/07/2024,CR,Utility,UPI,,5029.24,270501.73,SUCCESS
TXN00113,22/07/2024,2024-07-22,UPI-PRIYA SHARMA-PRIYASHARMA92@OKICICI-ICIC0000123-350380472038-UPI,0000350380472038,22/07/2024,DR,Transfer,UPI,2102.41,,268399.32,SUCCESS
TXN00114,23/07/2024,2024-07-23,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-705824576198-UPI,0000705824576198,23/07/2024,CR,Utility,UPI,,932.42,269331.74,SUCCESS
TXN00115,24/07/2024,2024-07-24,UPI-FLIPKART INTERNET-FLIPKART@YESBANK-YESB0FLKUPI-928363733258-UPI,0000928363733258,24/07/2024,DR,Shopping,UPI,1353.02,,267978.72,SUCCESS
TXN00116,25/07/2024,2024-07-25,UPI-IRCTC UPI-IRCTC@SBI-SBIN0IRCTC1-475553953855-UPI,0000475553953855,25/07/2024,CR,Travel,UPI,,1664.37,269643.09,SUCCESS
TXN00117,26/07/2024,2024-07-26,UPI-AMAZON PAY INDIA-AMAZONPAY@APL-AXIS0000002-627687082060-UPI,0000627687082060,26/07/2024,CR,Shopping,UPI,,2524.1,272167.19,SUCCESS
TXN00118,27/07/2024,2024-07-27,UPI-INDIGO AIRLINES-INDIGOAIR@HDFC-HDFC0INDIGO-731678373015-UPI,0000731678373015,27/07/2024,CR,Travel,UPI,,1080.02,273247.21,SUCCESS
TXN00119,28/07/2024,2024-07-28,UPI-MSEB VIDYUT-MSEDCL.BILL@YBL-YESB0MSEBUP-721959119309-UPI,0000721959119309,28/07/2024,DR,Utility,UPI,2174.22,,271072.99,SUCCESS
TXN00120,29/07/2024,2024-07-29,UPI-BOOK MY SHOW-BOOKMYSHOW@YBL-YESB0BMSUP1-755439143467-UPI,0000755439143467,29/07/2024,DR,Entertainment,UPI,1851.54,,269221.45,SUCCESS
TXN00121,30/07/2024,2024-07-30,UPI-LIC PREMIUM-LICPREMIUM@SBI-SBIN0LICUPI-436849259207-UPI,0000436849259207,30/07/2024,DR,Insurance,UPI,316.53,,268904.92,SUCCESS
TXN00122,31/07/2024,2024-07-31,UPI-NETFLIX ENTERTAIN-NETFLIX.IND@ICICI-ICIC0NFLX01-334614800586-UPI,0000334614800586,31/07/2024,CR,Entertainment,UPI,,1110.93,270015.85,SUCCESS
